				Overall							PP		SH		Defense	
Player Name	Team	Pos	Games	G	A	Pts	+/-	PIM	SOG	GWG	G	A	G	A	Hits	BS
Derek Forbort	LA	D	69	1	12	13	-14	50	62	0	0	0	0	0	92	114
Anders Bjork	BOS	C	20	1	2	3	-1	2	18	0	0	0	0	0	9	12
Brandon Carlo	BOS	D	62	1	6	7	12	45	100	0	0	0	0	1	119	78
Christian Jaros	OTT	D	50	1	8	9	-15	23	55	0	0	2	0	0	87	66
Jeremy Lauzon	BOS	D	15	1	0	1	-1	2	10	1	0	0	0	0	12	15
Evan Bouchard	EDM	D	7	1	0	1	-5	2	10	0	1	0	0	0	6	8
Martin Necas	CAR	C	7	1	1	2	0	2	6	0	0	0	0	0	3	2
Nick Paul	OTT	LW	20	1	1	2	-10	4	30	0	0	0	0	0	28	4
Mark Borowiecki	OTT	D	46	1	3	4	-13	85	50	0	0	0	0	0	186	73
Connor Carrick	NJ	D	23	1	7	8	-14	13	26	0	0	1	0	0	17	25
Mark Pysyk	FLA	D	59	1	10	11	-1	22	55	0	0	0	0	1	115	78
Michael Del Zotto	STL	D	37	1	6	7	-2	8	43	0	0	0	0	0	116	50
Calvin de Haan	CAR	D	67	1	13	14	3	20	97	1	0	0	0	0	169	96
Clark Bishop	CAR	C	20	1	2	3	-3	6	16	0	0	0	0	0	39	5
Chad Ruhwedel	PIT	D	18	1	1	2	-9	4	22	1	0	0	0	0	40	16
Sonny Milano	CLS	LW	8	1	0	1	0	0	5	0	0	0	0	0	5	0
Tyler Lewington	WAS	D	2	1	1	2	3	7	3	0	0	0	0	0	4	1
Denis Gurianov	DAL	RW	21	1	3	4	-3	0	23	0	0	1	0	0	23	9
Kailer Yamamoto	EDM	LW	17	1	1	2	-6	2	13	0	0	1	0	0	18	11
Max Jones	ANH	LW	20	1	1	2	2	8	38	0	0	1	0	0	20	4
Dillon Dube	CGY	C	23	1	4	5	4	4	22	0	0	0	0	0	11	3
Josh Mahura	ANH	D	17	1	4	5	0	4	20	0	0	3	0	0	6	18
Trevor Moore	TOR	LW	15	1	6	7	2	0	14	0	0	0	0	0	11	5
Joel L'Esperance	DAL	C	11	1	0	1	-1	4	17	0	0	0	0	0	11	3
Jori Lehtera	PHI	C	27	1	2	3	-7	33	17	0	0	0	0	0	29	7
Roman Polak	DAL	D	67	1	7	8	4	65	67	0	0	0	0	0	166	140
Matt Beleskey	NYR	LW	4	1	0	1	1	5	3	0	0	0	0	0	7	1
Jason Garrison	FA	D	17	1	0	1	1	8	16	0	1	0	0	0	13	23
Steve Santini	NJ	D	28	1	2	3	-3	12	28	0	0	0	0	0	56	28
Ryan Murray	CLS	D	56	1	28	29	20	10	71	0	0	1	0	0	27	93
Slater Koekkoek	CHI	D	24	1	3	4	-1	12	33	0	0	0	0	0	36	36
Connor Brickley	NYR	C	9	1	2	3	2	9	15	0	0	0	0	0	27	3
Kevin Connauton	ARI	D	45	1	7	8	1	22	69	0	0	0	0	2	84	69
Andrew Agozzino	COL	LW	7	1	1	2	2	0	4	0	0	0	0	0	9	2
Dion Phaneuf	LA	D	61	1	4	5	-21	47	71	0	0	0	0	0	115	71
Jacob MacDonald	FLA	D	2	1	0	1	1	0	1	0	0	0	0	0	1	1
Ross Johnston	NYI	LW	17	1	3	4	3	23	12	0	0	0	0	0	43	1
Michael Bunting	ARI	LW	5	1	0	1	0	2	5	0	0	0	0	0	6	1
Filip Zadina	DET	LW	9	1	2	3	-5	0	18	0	1	1	0	0	6	3
Sam Steel	ANH	C	16	1	3	4	-2	8	21	0	0	2	0	0	8	4
Jordan Kyrou	STL	RW	16	1	2	3	-1	4	16	0	0	0	0	0	2	3
Jack Johnson	PIT	D	71	1	12	13	-1	29	72	0	1	1	0	2	208	131
Martin Hanzal	DAL	C	7	1	1	2	-4	4	14	0	1	0	0	0	14	4
Justin Braun	SJ	D	67	1	14	15	-8	29	92	0	0	1	0	0	94	109
Chris Butler	STL	D	13	1	1	2	3	0	10	0	0	0	0	0	17	17
Garrett Wilson	PIT	LW	39	1	5	6	1	18	39	0	0	0	0	0	88	13
Brenden Dillon	SJ	D	71	1	18	19	24	55	62	0	0	0	1	0	170	69
Radim Simek	SJ	D	41	1	8	9	7	8	41	1	0	0	0	0	67	34
Lias Andersson	NYR	LW	30	1	4	5	-10	16	31	0	0	0	0	0	50	6
Mikhail Vorobyov	PHI	C	15	1	1	2	0	2	10	0	0	0	0	0	4	4
Philippe Myers	PHI	D	11	1	1	2	2	0	15	0	0	0	0	0	27	3
Troy Stecher	VAN	D	66	1	19	20	9	28	87	0	0	2	0	0	79	67
Alex Formenton	OTT	LW	9	1	0	1	-2	6	16	0	0	0	0	0	11	7
Par Lindholm	WPG	C	63	1	11	12	4	18	63	0	0	0	0	0	56	54
Sami Niku	WPG	D	23	1	3	4	-1	0	15	0	0	0	0	0	8	20
Josh Ho-Sang	NYI	RW	10	1	1	2	2	6	10	0	0	0	0	0	0	3
Noah Juulsen	MON	D	21	1	4	5	5	6	22	0	0	0	0	0	60	39
Micheal Haley	SJ	RW	35	1	4	5	0	51	25	0	0	0	0	0	59	11
Cody McLeod	NSH	LW	38	1	0	1	-13	67	22	0	0	0	0	0	112	10
Gabriel Bourque	COL	LW	43	1	5	6	0	10	25	0	0	0	0	1	82	42
Matt Bartkowski	MIN	D	2	1	0	1	2	0	2	0	0	0	0	0	1	1
Mark Barberio	COL	D	12	1	0	1	-6	4	11	0	0	0	0	0	13	14
Josh Brown	FLA	D	25	1	0	1	-5	16	16	0	0	0	0	0	50	20
Olli Maatta	PIT	D	55	1	12	13	7	10	65	1	1	3	0	0	90	111
Brendan Gaunce	VAN	C	3	1	2	3	3	0	2	1	0	0	0	0	4	0
Christian Djoos	WAS	D	36	1	6	7	5	4	26	0	0	0	0	0	17	22
Ian McCoshen	FLA	D	18	1	0	1	0	8	12	0	0	0	0	0	38	12
Nicolas Petan	TOR	C	16	1	2	3	-5	2	13	1	0	0	0	0	1	2
Tomas Hyka	VGK	RW	17	1	3	4	-2	2	22	0	0	2	0	0	6	5
Joe Morrow	WPG	D	39	1	5	6	2	15	40	0	0	0	0	0	33	36
Ian Cole	COL	D	59	1	10	11	1	111	69	0	0	0	0	0	92	147
Tomas Plekanec	FA	C	3	1	0	1	0	0	8	0	0	0	0	0	1	1
Erik Condra	DAL	RW	6	1	0	1	-2	2	10	0	0	0	0	0	3	1
Matt Irwin	NSH	D	38	1	4	5	5	36	46	0	0	0	0	0	72	31
Lawrence Pilut	BUF	D	25	1	5	6	-3	18	25	0	0	0	0	0	12	27
Andreas Martinsen	CHI	LW	24	1	3	4	-5	14	21	0	0	0	0	0	83	9
Rourke Chartier	SJ	C	13	1	0	1	-5	2	19	0	0	0	0	0	14	3
Nikita Scherbak	LA	RW	8	1	0	1	-4	2	12	0	0	0	0	0	9	1
Libor Hajek	NYR	D	5	1	0	1	1	6	10	0	0	0	0	0	5	3
Logan Brown	OTT	C	2	0	0	0	-2	0	2	0	0	0	0	0	0	1
Brendan Guhle	ANH	D	7	0	1	1	-2	4	15	0	0	0	0	0	9	6
Guillaume Brisebois	VAN	D	3	0	0	0	-3	0	1	0	0	0	0	0	3	2
Colton White	NJ	D	1	0	0	0	1	2	1	0	0	0	0	0	2	0
Anthony Richard	NSH	C	1	0	0	0	-1	0	0	0	0	0	0	0	0	1
Jacob Middleton	SJ	D	1	0	0	0	-1	0	0	0	0	0	0	0	0	1
Jack Rodewald	OTT	RW	6	0	0	0	0	0	2	0	0	0	0	0	8	3
Nicolas Aube-Kubel	PHI	C	9	0	0	0	1	0	2	0	0	0	0	0	14	0
Erik Brannstrom	OTT	D	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Ryan Lindgren	NYR	D	3	0	0	0	-1	6	3	0	0	0	0	0	9	4
Justin Kloos	ANH	C	1	0	0	0	0	0	2	0	0	0	0	0	2	0
Mark Alt	COL	D	2	0	0	0	0	0	2	0	0	0	0	0	0	2
Michael Chaput	ARI	C	32	0	5	5	-4	14	31	0	0	0	0	0	53	17
Sam Carrick	ANH	C	5	0	0	0	-2	2	4	0	0	0	0	0	12	0
Patrick Eaves	ANH	RW	7	0	0	0	-4	4	6	0	0	0	0	0	14	1
Niklas Hjalmarsson	ARI	D	71	0	10	10	9	40	50	0	0	0	0	2	37	165
Adam Clendening	CLS	D	4	0	0	0	1	0	3	0	0	0	0	0	1	3
Xavier Ouellet	MON	D	19	0	3	3	-3	13	32	0	0	0	0	0	32	30
Greg Pateryn	MIN	D	69	0	5	5	-7	37	85	0	0	0	0	0	118	102
Valeri Nichushkin	DAL	LW	49	0	7	7	-5	0	58	0	0	0	0	0	58	30
Trevor Carrick	CAR	D	1	0	0	0	-1	5	0	0	0	0	0	0	1	1
Kurtis MacDermid	LA	D	3	0	0	0	-2	2	1	0	0	0	0	0	4	2
Alex Petrovic	EDM	D	35	0	2	2	-15	26	47	0	0	0	0	0	116	53
Brandon Davidson	CHI	D	10	0	1	1	-4	15	7	0	0	0	0	0	17	15
Kyle Rau	MIN	C	6	0	1	1	0	0	6	0	0	0	0	0	11	2
Blake Pietila	NJ	LW	15	0	1	1	-6	4	15	0	0	0	0	0	29	8
Scott Wilson	BUF	LW	10	0	2	2	-4	4	16	0	0	0	0	0	19	2
Paul Carey	BOS	RW	6	0	0	0	1	0	4	0	0	0	0	0	3	2
Stephen Gionta	NYI	C	5	0	0	0	-4	0	4	0	0	0	0	0	14	2
Nicolas Roy	CAR	C	6	0	0	0	0	2	1	0	0	0	0	0	7	1
Cooper Marody	EDM	C	6	0	0	0	-1	0	6	0	0	0	0	0	0	0
Haydn Fleury	CAR	D	14	0	1	1	4	0	10	0	0	0	0	0	17	13
Nikita Soshnikov	STL	LW	5	0	0	0	-1	0	1	0	0	0	0	0	5	2
Bogdan Kiselevich	WPG	D	32	0	8	8	-3	12	14	0	0	0	0	0	49	21
Maxim Mamin	FLA	LW	7	0	0	0	-2	5	8	0	0	0	0	0	10	1
Nick Lappin	NJ	RW	10	0	0	0	-6	0	11	0	0	0	0	0	16	3
Vinni Lettieri	NYR	C	18	0	0	0	-5	10	21	0	0	0	0	0	20	9
Jaret Anderson-Dolan	LA	C	5	0	1	1	-2	0	6	0	0	0	0	0	5	2
Trent Frederic	BOS	C	13	0	0	0	-4	5	17	0	0	0	0	0	16	3
Jakub Jerabek	STL	D	1	0	0	0	-3	2	1	0	0	0	0	0	0	1
Jacob Nilsson	CHI	C	2	0	0	0	-2	0	0	0	0	0	0	0	1	1
Janne Kuokkanen	CAR	LW	7	0	0	0	-2	4	6	0	0	0	0	0	0	3
Henri Jokiharju	CHI	D	38	0	12	12	-7	16	62	0	0	1	0	0	48	37
Libor Sulak	DET	D	6	0	0	0	-4	6	7	0	0	0	0	0	18	5
Joseph Gambardella	EDM	C	4	0	0	0	-1	0	0	0	0	0	0	0	1	1
Danick Martel	TB	C	8	0	2	2	4	8	15	0	0	0	0	0	10	1
Ashton Sautner	VAN	D	10	0	1	1	0	2	11	0	0	0	0	0	14	11
Jonas Siegenthaler	WAS	D	25	0	4	4	7	10	12	0	0	0	0	0	31	43
Louis Belpedio	MIN	D	2	0	0	0	0	0	0	0	0	0	0	0	1	4
Nelson Nogier	WPG	D	1	0	0	0	0	0	1	0	0	0	0	0	0	1
Justin Dowling	DAL	C	6	0	1	1	-1	0	5	0	0	0	0	0	6	3
Martin Marincin	TOR	D	17	0	4	4	-1	10	25	0	0	0	0	0	17	15
Stefan Elliott	OTT	D	3	0	1	1	1	0	3	0	0	0	0	0	2	1
Cameron Schilling	WPG	D	4	0	1	1	0	0	2	0	0	0	0	0	3	5
Reid Boucher	VAN	RW	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Tobias Rieder	EDM	RW	56	0	11	11	-6	8	77	0	0	2	0	0	63	36
Tim Schaller	VAN	C	36	0	5	5	-4	7	32	0	0	0	0	0	58	15
Joseph Blandisi	PIT	C	6	0	0	0	-1	6	4	0	0	0	0	0	7	1
Kerby Rychel	CGY	LW	2	0	0	0	-1	0	1	0	0	0	0	0	3	1
Dillon Heatherington	DAL	D	5	0	1	1	4	0	5	0	0	0	0	0	6	2
Carl Dahlstrom	CHI	D	33	0	6	6	8	6	39	0	0	0	0	1	26	32
Tyrell Goulbourne	PHI	LW	2	0	0	0	0	0	3	0	0	0	0	0	6	0
Eric Tangradi	NJ	LW	2	0	0	0	-2	0	5	0	0	0	0	0	5	2
Eric Gryba	NJ	D	10	0	0	0	-1	10	11	0	0	0	0	0	21	16
Chris Thorburn	STL	RW	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Derek MacKenzie	FLA	C	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tom Pyatt	VAN	C	37	0	2	2	-16	2	29	0	0	0	0	0	15	46
Jake Bean	CAR	D	2	0	0	0	0	2	1	0	0	0	0	0	1	0
Ilya Lyubushkin	ARI	D	40	0	4	4	-9	13	27	0	0	0	0	0	146	60
Urho Vaakanainen	BOS	D	2	0	0	0	-1	0	2	0	0	0	0	0	0	0
Christian Folin	MON	D	34	0	5	5	6	18	33	0	0	0	0	0	85	68
Laurent Dauphin	NSH	C	1	0	0	0	-1	0	2	0	0	0	0	0	0	1
Anton Lindholm	COL	D	2	0	0	0	-1	0	0	0	0	0	0	0	1	1
Gabriel Carlsson	CLS	D	1	0	0	0	-1	2	1	0	0	0	0	0	0	0
Kole Sherwood	CLS	C	2	0	0	0	0	0	2	0	0	0	0	0	10	1
Ryan Lomberg	CGY	LW	4	0	0	0	0	17	1	0	0	0	0	0	12	0
Dan Hamhuis	NSH	D	53	0	4	4	-1	24	34	0	0	0	0	0	38	59
Marc Methot	DAL	D	9	0	0	0	-3	6	3	0	0	0	0	0	15	10
Karl Alzner	MON	D	9	0	1	1	1	2	8	0	0	0	0	0	13	10
Nate Prosser	MIN	D	15	0	0	0	1	2	10	0	0	0	0	0	17	13
Anthony Bitetto	MIN	D	32	0	3	3	-3	10	27	0	0	0	0	0	73	32
Ryan Murphy	NJ	D	3	0	1	1	1	0	1	0	0	1	0	0	1	3
Wade Megan	DET	C	11	0	1	1	-4	2	16	0	0	0	0	0	4	4
Colin Blackwell	NSH	C	6	0	0	0	-1	2	5	0	0	0	0	0	10	3
Matt Tennyson	BUF	D	4	0	0	0	-4	0	4	0	0	0	0	0	10	2
Connor Clifton	BOS	D	10	0	0	0	3	11	8	0	0	0	0	0	18	7
Marko Dano	WPG	C	8	0	0	0	-1	7	3	0	0	0	0	0	16	3
Remi Elie	BUF	LW	16	0	1	1	-3	2	9	0	0	0	0	0	30	3
Kevin Roy	ANH	C	3	0	0	0	-1	0	2	0	0	0	0	0	0	2
Joakim Ryan	SJ	D	35	0	5	5	3	11	29	0	0	0	0	0	26	36
Anthony Peluso	CGY	RW	4	0	0	0	-1	7	1	0	0	0	0	0	4	0
Luke Schenn	VAN	D	15	0	1	1	-6	7	16	0	0	0	0	0	49	13
Thomas Hickey	NYI	D	35	0	4	4	8	24	37	0	0	0	0	1	35	60
Korbinian Holzer	ANH	D	12	0	2	2	1	4	9	0	0	0	0	0	30	22
Brad Malone	EDM	C	13	0	0	0	-1	0	12	0	0	0	0	0	23	3
Kevan Miller	BOS	D	36	0	6	6	5	33	32	0	0	0	0	0	66	73
Zach MacEwen	VAN	C	4	0	1	1	-4	5	2	0	0	0	0	0	4	1
Tim Gettinger	NYR	LW	4	0	0	0	0	0	2	0	0	0	0	0	15	3
Dylan Gambrell	SJ	C	6	0	0	0	1	0	4	0	0	0	0	0	11	1
Brandon Gignac	NJ	C	1	0	0	0	-2	0	1	0	0	0	0	0	0	1
Kristian Vesalainen	WPG	LW	5	0	1	1	0	0	1	0	0	0	0	0	1	1
Daniel Brickley	LA	D	4	0	1	1	-2	0	2	0	0	0	0	0	5	4
Sheldon Rempal	LA	LW	7	0	0	0	-1	0	3	0	0	0	0	0	0	1
Kyle Capobianco	ARI	D	2	0	0	0	-2	0	1	0	0	0	0	0	2	2
Nathan Walker	WAS	C	3	0	1	1	1	2	2	0	0	0	0	0	5	0
Julius Honka	DAL	D	29	0	4	4	-2	10	38	0	0	0	0	0	16	31
Joe Hicketts	DET	D	8	0	0	0	-6	0	9	0	0	0	0	0	15	13
Jordan Nolan	STL	RW	14	0	2	2	2	14	17	0	0	0	0	0	22	4
Justin Holl	TOR	D	4	0	0	0	-5	2	0	0	0	0	0	0	5	4
Zach Trotman	PIT	D	9	0	1	1	4	4	9	0	0	1	0	0	17	17
Andrew MacDonald	PHI	D	45	0	9	9	-5	18	38	0	0	0	0	2	28	91
Mark Letestu	CLS	C	2	0	0	0	-1	0	1	0	0	0	0	0	3	0
Adam Cracknell	ANH	C	2	0	0	0	-1	0	3	0	0	0	0	0	6	0
David Schlemko	PHI	D	18	0	2	2	-1	4	29	0	0	2	0	0	29	45
Danny O'Regan	BUF	C	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Jordan Schmaltz	STL	D	20	0	2	2	-7	2	11	0	0	0	0	0	10	22
Steven Fogarty	NYR	C	10	0	0	0	-1	0	9	0	0	0	0	0	6	3
Max Veronneau	OTT	RW	1	0	0	0	0	0	5	0	0	0	0	0	0	1
Dakota Mermis	ARI	D	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Patrick Russell	EDM	RW	6	0	0	0	0	2	6	0	0	0	0	0	9	2
Tanner Fritz	NYI	LW	4	0	1	1	-1	2	3	0	0	0	0	0	5	4
Victor Mete	MON	D	60	0	11	11	14	6	55	0	0	0	0	0	18	84
Riley Stillman	FLA	D	1	0	0	0	0	2	1	0	0	0	0	0	5	0
Michael McLeod	NJ	C	10	0	1	1	-3	6	8	0	0	0	0	0	22	2
Dylan Sikura	CHI	LW	24	0	7	7	2	0	37	0	0	0	0	0	2	10
Dean Kukan	CLS	D	16	0	3	3	-2	4	9	0	0	0	0	0	13	12
Jake Dotchin	ANH	D	20	0	1	1	-4	39	7	0	0	0	0	1	54	16
Corban Knight	PHI	C	11	0	0	0	-3	0	9	0	0	0	0	0	8	7
Luke Witkowski	DET	D	23	0	2	2	-2	12	11	0	0	0	0	0	45	20
Justin Bailey	PHI	RW	7	0	0	0	0	0	2	0	0	0	0	0	9	3
Justin Falk	OTT	D	10	0	0	0	-4	11	7	0	0	0	0	0	36	9
Dmitry Kulikov	WPG	D	45	0	6	6	4	37	30	0	0	0	0	0	73	58
Zac Dalpe	CLS	C	1	0	1	1	1	0	1	0	0	0	0	0	0	0
Cody Goloubef	OTT	D	5	0	0	0	0	2	3	0	0	0	0	0	13	5
Erik Burgdoerfer	OTT	D	4	0	0	0	-1	2	2	0	0	0	0	0	16	0
Cory Conacher	TB	LW	1	0	0	0	0	2	1	0	0	0	0	0	0	0
Matt Roy	LA	D	13	0	1	1	0	2	17	0	0	0	0	0	22	29
Anthony Greco	FLA	C	1	0	0	0	-3	0	2	0	0	0	0	0	0	0
Benjamin Gleason	DAL	D	4	0	1	1	-1	0	2	0	0	0	0	0	2	1
Jakub Zboril	BOS	D	2	0	0	0	0	0	1	0	0	0	0	0	3	0
Kevin Stenlund	CLS	C	4	0	0	0	0	4	3	0	0	0	0	0	3	1
Juho Lammikko	FLA	RW	40	0	6	6	-7	6	39	0	0	0	0	1	45	21
Eric Robinson	CLS	LW	12	0	0	0	-4	0	16	0	0	0	0	0	22	1
Isac Lundestrom	ANH	LW	15	0	2	2	-1	2	13	0	0	0	0	0	4	5
Matt Hunwick	BUF	D	13	0	1	1	-6	4	10	0	0	0	0	0	6	7
Matt Hendricks	WPG	LW	22	0	2	2	-2	19	20	0	0	0	0	0	31	5
Andrej Sekera	EDM	D	12	0	2	2	5	4	14	0	0	0	0	0	10	6
Lee Stempniak	BOS	RW	2	0	0	0	-1	0	0	0	0	0	0	0	2	0
Luca Sbisa	NYI	D	9	0	1	1	0	4	5	0	0	0	0	0	17	7
Michael Stone	CGY	D	11	0	4	4	-1	8	10	0	0	0	0	0	23	13
Andrej Sustr	ANH	D	5	0	0	0	0	6	6	0	0	0	0	0	3	7
Luke Johnson	CHI	C	15	0	1	1	-8	8	19	0	0	1	0	0	31	9
Joel Hanley	DAL	D	16	0	0	0	0	2	9	0	0	0	0	0	16	16
Andy Welinski	ANH	D	19	0	2	2	-3	8	21	0	0	0	0	0	29	12
Kevin Gravel	EDM	D	35	0	3	3	-3	4	44	0	0	0	0	0	30	52
Dalton Prout	CGY	D	15	0	1	1	2	8	11	0	0	0	0	0	31	14
Matt Donovan	NSH	D	2	0	1	1	0	2	1	0	0	0	0	0	0	3
Logan O'Connor	COL	C	5	0	0	0	-2	0	1	0	0	0	0	0	4	1
Jacob Larsson	ANH	D	43	0	5	5	-8	12	46	0	0	0	0	0	34	51
Alexander Nylander	BUF	RW	2	0	0	0	0	0	1	0	0	0	0	0	0	1
