				Overall							PP		SH		Defense	
Player Name	Team	Pos	Games	G	A	Pts	+/-	PIM	SOG	GWG	G	A	G	A	Hits	BS
Alex Iafallo	LA	C	70	14	14	28	-12	22	129	2	2	3	0	0	79	46
Mark Giordano	CGY	D	68	14	51	65	29	61	185	2	3	18	3	1	49	133
Brayden Schenn	STL	LW	60	13	31	44	2	34	123	4	4	6	0	0	100	28
Michael Frolik	CGY	LW	53	13	14	27	20	20	106	3	0	0	2	0	49	16
Dougie Hamilton	CAR	D	69	13	17	30	-1	46	214	1	1	5	0	0	124	71
Derek Stepan	ARI	C	64	13	19	32	-3	14	180	2	1	2	3	0	46	43
Richard Panik	ARI	RW	65	13	18	31	-1	34	115	2	0	2	1	0	113	46
Oskar Lindblom	PHI	LW	69	13	15	28	-1	20	139	2	1	1	0	0	60	43
Nolan Patrick	PHI	C	62	13	15	28	-5	25	102	3	1	1	0	0	62	24
Brandon Tanev	WPG	LW	70	13	12	25	8	41	115	0	0	0	2	1	239	74
Jordan Eberle	NYI	RW	66	13	17	30	-11	17	134	3	6	5	0	0	31	32
Josh Leivo	VAN	LW	65	13	9	22	5	32	123	2	3	4	0	0	41	17
Ryan Strome	NYR	C	69	13	12	25	-2	60	93	0	3	2	0	0	68	34
Alex Killorn	TB	C	71	13	21	34	22	41	134	1	2	3	0	1	77	22
Erik Gustafsson	CHI	D	67	13	37	50	-11	26	122	3	4	13	0	0	71	93
Colin White	OTT	C	63	13	22	35	-19	20	111	2	5	0	0	0	22	32
Brent Burns	SJ	D	71	13	60	73	16	28	261	5	6	19	1	4	71	93
Anthony Duclair	OTT	LW	63	13	11	24	-2	14	104	2	5	1	0	0	27	26
Jake Virtanen	VAN	LW	60	13	10	23	-3	40	141	1	2	0	0	0	128	30
Thomas Chabot	OTT	D	62	13	36	49	-9	30	164	2	1	12	1	0	66	99
Kevin Labanc	SJ	RW	71	13	35	48	-1	32	110	3	2	15	0	0	58	13
Clayton Keller	ARI	C	71	13	32	45	-16	22	174	5	1	18	0	0	15	18
Artem Anisimov	CHI	C	66	13	20	33	-4	14	120	1	0	3	1	0	23	25
Bobby Ryan	OTT	RW	68	13	24	37	-24	31	141	1	5	8	0	0	65	47
Mathieu Joseph	TB	RW	60	13	9	22	8	24	84	1	0	0	0	2	103	13
Mathieu Perreault	WPG	C	70	13	13	26	-1	34	82	2	3	3	0	0	104	19
Paul Byron	MON	C	48	13	15	28	15	10	79	3	0	1	2	1	95	34
Radek Faksa	DAL	C	69	13	12	25	-4	39	96	1	1	1	1	1	85	59
Kevin Fiala	MIN	LW	72	12	22	34	-15	28	148	1	1	6	0	0	37	17
Dominik Kahun	CHI	C	70	12	22	34	7	2	121	1	1	1	0	0	10	22
Oskar Sundqvist	STL	C	62	12	13	25	1	20	96	2	0	1	1	0	76	27
Mats Zuccarello	DAL	RW	47	12	27	39	-8	24	103	1	3	11	0	0	57	43
Conor Sheary	BUF	LW	66	12	19	31	-4	12	124	3	4	1	0	0	25	25
Daniel Sprong	ANH	RW	54	12	8	20	-15	8	103	2	2	3	0	0	32	12
Zack Kassian	EDM	RW	67	12	9	21	-3	82	93	2	0	0	1	0	168	12
Conor Garland	ARI	RW	39	12	3	15	3	12	101	2	4	2	0	0	25	11
Ryan Getzlaf	ANH	C	61	12	29	41	-22	40	125	2	1	8	0	0	137	69
Marcus Johansson	BOS	LW	52	12	16	28	-15	8	107	1	2	7	0	0	26	21
Mathew Dumba	MIN	D	32	12	10	22	-5	21	93	1	6	6	0	0	60	43
Colton Sissons	NSH	RW	65	12	15	27	25	15	93	3	1	1	0	1	91	46
Jared Spurgeon	MIN	D	71	12	27	39	8	18	133	0	2	5	0	1	76	121
Tyler Toffoli	LA	RW	70	12	17	29	-15	18	196	3	3	0	0	0	33	21
Cedric Paquette	TB	C	70	12	4	16	4	72	75	1	0	0	2	0	234	54
Pontus Aberg	MIN	LW	54	12	12	24	-13	20	94	1	3	4	0	0	40	11
Derick Brassard	COL	C	58	12	9	21	-18	35	95	0	1	3	0	0	90	14
Brendan Perlini	CHI	LW	57	12	7	19	-16	28	99	0	2	2	0	0	42	17
J.T. Miller	TB	C	65	12	25	37	4	30	96	4	4	12	0	0	102	18
Chris Wagner	BOS	RW	68	12	6	18	2	51	127	1	0	0	0	0	231	30
Tyler Ennis	TOR	LW	44	12	5	17	-6	2	74	1	2	3	0	0	38	12
Alex Pietrangelo	STL	D	59	12	21	33	-1	20	140	2	3	8	0	0	52	114
Melker Karlsson	SJ	C	71	12	4	16	0	24	75	2	0	0	0	0	61	34
Aaron Ekblad	FLA	D	70	12	21	33	1	39	152	1	5	4	0	0	100	69
Sam Bennett	CGY	LW	68	12	14	26	-5	89	110	2	4	2	0	0	117	27
Scott Laughton	PHI	C	70	12	16	28	-5	51	105	1	0	0	0	2	126	33
Taylor Hall	NJ	LW	33	11	26	37	-6	16	113	3	1	11	0	0	22	29
Nick Bjugstad	PIT	C	53	11	11	22	4	26	117	2	2	4	0	0	96	25
Christian Fischer	ARI	RW	67	11	7	18	-13	27	110	0	0	0	0	0	112	18
Andre Burakovsky	WAS	LW	65	11	12	23	-2	14	85	4	1	0	0	0	31	27
Jeff Petry	MON	D	71	11	30	41	-11	26	141	3	3	7	0	1	171	103
Drake Caggiula	CHI	LW	50	11	7	18	-7	23	89	2	0	0	1	0	130	25
Jordan Greenway	MIN	LW	70	11	11	22	-6	24	95	0	0	0	0	0	48	31
Brendan Lemieux	NYR	LW	52	11	5	16	7	93	56	1	0	0	0	0	104	23
Pavel Zacha	NJ	C	53	11	6	17	-8	13	86	1	3	0	2	1	55	22
Lars Eller	WAS	C	70	11	22	33	-5	35	146	1	0	3	1	2	56	41
Ryan Johansen	NSH	C	70	11	46	57	-2	36	126	3	0	15	0	1	89	22
Ryan Hartman	PHI	RW	72	11	12	23	3	54	126	2	0	0	0	0	88	30
Oliver Ekman-Larsson	ARI	D	70	11	27	38	-12	44	153	2	5	12	1	2	135	48
